,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,62.47,62.47,62.47,62.47,12854.3
1,add1,53.1,37.48,47.89,47.89,8249.24
2,add2,43.73,74.95,54.13,54.13,10795.6
3,mul0,99.96,62.48,81.22,71.22,88034.5
4,mul1,99.96,62.48,81.22,71.22,88124.9
5,mul2,99.96,43.73,71.85,61.85,86318.3
6,mul3,99.96,49.98,74.97,64.97,86175.6
7,reg_Q0,62.48,62.48,62.48,62.48,13755.0
8,reg_Q1,62.47,62.47,62.47,62.47,13767.0
9,reg_Q2,37.48,37.48,37.48,37.48,11755.0
10,reg_Y,74.95,74.95,74.95,74.95,13839.0
11,zfir_8bit,99.96,74.95,74.95,74.95,472330.0
