,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.52,48.8,47.28,47.28,9227.23
1,add1,47.63,49.44,48.23,48.23,9462.25
2,add2,47.99,49.62,48.53,48.53,9532.49
3,mul0,49.92,46.63,48.28,43.28,45279.0
4,mul1,49.92,46.43,48.18,43.17,45224.4
5,mul2,49.85,46.45,48.15,43.17,45202.5
6,mul3,49.85,46.55,48.2,43.22,45471.8
7,reg_Q0,46.63,46.63,46.63,46.63,12273.0
8,reg_Q1,48.8,48.8,48.8,48.8,12434.0
9,reg_Q2,49.44,49.44,49.44,49.44,12485.0
10,reg_Y,49.62,49.62,49.62,49.62,11977.0
11,zfir_8bit,49.92,49.62,49.62,49.62,279569.0
