,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.28,47.84,45.47,45.47,8993.02
1,add1,46.11,48.92,47.05,47.05,9277.81
2,add2,46.72,49.55,47.66,47.66,9374.22
3,mul0,33.22,44.21,38.72,35.41,31842.3
4,mul1,33.2,44.35,38.78,35.45,31612.7
5,mul2,33.16,44.39,38.77,35.45,31703.3
6,mul3,33.27,44.51,38.89,35.55,31861.9
7,reg_Q0,44.21,44.21,44.21,44.21,12070.0
8,reg_Q1,47.84,47.84,47.84,47.84,12354.0
9,reg_Q2,48.92,48.92,48.92,48.92,12441.0
10,reg_Y,49.55,49.55,49.55,49.55,11970.0
11,zfir_8bit,33.22,49.55,49.55,49.55,218616.0
