,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.59,45.81,41.66,41.66,8378.73
1,add1,42.79,47.72,44.43,44.43,8929.67
2,add2,43.67,48.66,45.34,45.34,9085.75
3,mul0,20.01,39.59,29.8,27.8,20456.3
4,mul1,20.1,39.6,29.85,27.85,20379.4
5,mul2,20.06,39.77,29.91,27.9,20557.6
6,mul3,19.97,39.63,29.8,27.8,20488.6
7,reg_Q0,39.59,39.59,39.59,39.59,11677.0
8,reg_Q1,45.81,45.81,45.81,45.81,12184.0
9,reg_Q2,47.72,47.72,47.72,47.72,12342.0
10,reg_Y,48.66,48.66,48.66,48.66,11906.0
11,zfir_8bit,20.01,48.66,48.66,48.66,166842.0
