,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,30.25,40.29,33.6,33.6,6887.22
1,add1,35.35,43.97,38.22,38.22,7850.63
2,add2,37.16,45.79,40.04,40.04,8156.07
3,mul0,10.09,30.41,20.25,19.24,11425.1
4,mul1,9.92,30.1,20.01,19.02,11155.5
5,mul2,10.0,30.42,20.21,19.21,11470.3
6,mul3,10.09,30.35,20.22,19.22,11452.9
7,reg_Q0,30.41,30.41,30.41,30.41,10899.0
8,reg_Q1,40.29,40.29,40.29,40.29,11720.0
9,reg_Q2,43.97,43.97,43.97,43.97,12027.0
10,reg_Y,45.79,45.79,45.79,45.79,11695.0
11,zfir_8bit,10.09,45.79,45.79,45.79,121666.0
