BW,PERCENTAGE,POWER [nW]
64,62,9.4186
64,64,10.0805
64,66,10.7420
64,67,11.4065
64,69,12.0677
64,70,12.7306
64,72,13.3925
64,73,14.0576
64,75,14.7226
64,77,15.3844
64,78,16.0458
64,80,16.7091
64,81,17.3711
64,83,18.0345
64,84,18.6964
64,86,19.3574
64,88,20.0221
64,89,20.6830
64,91,21.3464
64,92,22.0113
64,94,22.6756
64,95,23.3395
64,97,24.0010
64,98,24.6649
64,100,25.3268
