BW,PERCENTAGE,Area [um^2],Power [nW]
4,25,78.989,3900.2000
4,50,78.989,5105.3700
4,75,78.989,6297.8500
4,100,78.989,7158.4000
5,20,93.196,4175.5000
5,40,93.196,5374.8200
5,60,93.196,6571.4200
5,80,93.196,7772.4700
5,100,93.196,8557.6300
6,17,106.751,4514.2200
6,33,106.751,5655.1400
6,50,106.751,6911.4900
6,67,106.751,8058.6600
6,83,106.751,9307.7900
6,100,106.751,9992.0800
7,14,121.610,5869.1100
7,29,121.610,7062.9500
7,43,121.610,8276.2700
7,57,121.610,9465.2500
7,71,121.610,10676.6000
7,86,121.610,11876.2000
7,100,121.610,12193.4000
8,12,135.817,5102.2700
8,25,135.817,6287.1800
8,38,135.817,7494.6800
8,50,135.817,8695.6100
8,62,135.817,9891.0100
8,75,135.817,11081.3000
8,88,135.817,12290.0000
8,100,135.817,12802.7000
9,11,148.368,3479.0100
9,22,148.368,4667.5100
9,33,148.368,5856.0100
9,44,148.368,7044.5100
9,56,148.368,8233.0200
9,67,148.368,9421.5200
9,78,148.368,10610.0000
9,89,148.368,11798.5000
9,100,148.368,12987.0000
10,10,163.226,3721.8400
10,20,163.226,3721.8400
10,30,163.226,4910.2900
10,40,163.226,6098.7400
10,50,163.226,7287.1900
10,60,163.226,8475.6500
10,70,163.226,9664.1000
10,80,163.226,10852.6000
10,90,163.226,12041.0000
10,100,163.226,13229.5000
11,9,177.433,3932.2100
11,18,177.433,3932.2100
11,27,177.433,3932.2100
11,36,177.433,5120.6100
11,45,177.433,6309.0200
11,55,177.433,7497.4200
11,64,177.433,8685.8300
11,73,177.433,9874.2300
11,82,177.433,11062.6000
11,91,177.433,12251.0000
11,100,177.433,13439.5000
12,8,193.458,4541.8900
12,17,193.458,4541.8900
12,25,193.458,4541.8900
12,33,193.458,4541.8900
12,42,193.458,5730.6200
12,50,193.458,6919.3600
12,58,193.458,8108.1000
12,67,193.458,9296.8300
12,75,193.458,10485.6000
12,83,193.458,11674.3000
12,92,193.458,12863.0000
12,100,193.458,14051.8000
13,8,209.145,4732.0700
13,15,209.145,4732.0700
13,23,209.145,4732.0700
13,31,209.145,4732.0700
13,38,209.145,4732.0700
13,46,209.145,6009.8500
13,54,209.145,7289.4700
13,62,209.145,8567.2500
13,69,209.145,9845.0300
13,77,209.145,11122.8000
13,85,209.145,12400.6000
13,92,209.145,13678.4000
13,100,209.145,14956.1000
14,7,222.049,5009.4700
14,14,222.049,5009.4700
14,21,222.049,5009.4700
14,29,222.049,5009.4700
14,36,222.049,5009.4700
14,43,222.049,5009.4700
