,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,47.18,48.99,47.79,40799.8
1,add1,48.03,49.41,48.49,41371.4
2,add2,48.34,49.62,48.77,41529.0
3,mul0,19.89,47.18,33.54,934817.0
4,mul1,19.97,47.19,33.58,938500.0
5,mul2,19.95,47.07,33.51,936801.0
6,mul3,20.02,47.28,33.65,940904.0
7,reg_Q0,47.18,47.18,47.18,49244.0
8,reg_Q1,48.99,48.99,48.99,49838.0
9,reg_Q2,49.41,49.41,49.41,49977.0
10,reg_Y,49.62,49.62,49.62,47906.0
11,zfir_32bit,19.89,49.62,49.62,4143210.0
