,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.18,49.75,49.37,41770.1
1,add1,49.4,50.02,49.6,42040.1
2,add2,49.59,49.92,49.7,42078.4
3,mul0,49.91,49.12,49.51,2308140.0
4,mul1,49.88,49.25,49.56,2303910.0
5,mul2,50.0,49.05,49.52,2311060.0
6,mul3,49.96,49.16,49.56,2313270.0
7,reg_Q0,49.12,49.12,49.12,49904.0
8,reg_Q1,49.75,49.75,49.75,50094.0
9,reg_Q2,50.02,50.02,50.02,50187.0
10,reg_Y,49.92,49.92,49.92,47986.0
11,zfir_32bit,49.91,49.92,49.92,9719030.0
