,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.51,50.06,49.7,41912.0
1,add1,49.77,49.89,49.81,42154.4
2,add2,49.71,50.04,49.82,42189.6
3,mul0,74.97,49.52,62.24,3446080.0
4,mul1,74.98,49.51,62.25,3449120.0
5,mul2,74.96,49.49,62.22,3447400.0
6,mul3,74.95,49.53,62.24,3448160.0
7,reg_Q0,49.52,49.52,49.52,50047.0
8,reg_Q1,50.06,50.06,50.06,50204.0
9,reg_Q2,49.89,49.89,49.89,50149.0
10,reg_Y,50.04,50.04,50.04,48025.0
11,zfir_32bit,74.97,50.04,50.04,14346600.0
