,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.33,49.78,49.48,41777.8
1,add1,49.6,49.93,49.71,42090.6
2,add2,49.69,49.87,49.75,42121.7
3,mul0,66.2,49.29,57.75,3047560.0
4,mul1,66.2,49.37,57.79,3049090.0
5,mul2,66.2,49.43,57.81,3048900.0
6,mul3,66.19,49.45,57.82,3046300.0
7,reg_Q0,49.29,49.29,49.29,49967.0
8,reg_Q1,49.78,49.78,49.78,50107.0
9,reg_Q2,49.93,49.93,49.93,50154.0
10,reg_Y,49.87,49.87,49.87,47976.0
11,zfir_32bit,66.2,49.87,49.87,12721800.0
