,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.16,49.98,48.77,48.77,9398.13
1,add1,49.07,49.75,49.29,49.29,9639.22
2,add2,48.8,49.96,49.19,49.19,9648.09
3,mul0,75.01,48.15,61.58,54.08,66114.2
4,mul1,75.04,48.17,61.6,54.08,66122.7
5,mul2,74.99,48.15,61.57,54.07,66261.0
6,mul3,75.03,47.86,61.45,53.94,66095.7
7,reg_Q0,48.15,48.15,48.15,48.15,12405.0
8,reg_Q1,49.98,49.98,49.98,49.98,12534.0
9,reg_Q2,49.75,49.75,49.75,49.75,12513.0
10,reg_Y,49.96,49.96,49.96,49.96,11998.0
11,zfir_8bit,75.01,49.96,49.96,49.96,372594.0
