Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,41.76,46.74,43.42,43.42,8680.58,8512.989161864096,1.93,6530.31,0.247710406,,,
1,add1,44.3,48.55,45.72,45.72,9139.5,9222.36410126399,-0.91,6530.31,0.285484983,,,
2,add2,45.19,48.69,46.36,46.36,9200.73,9290.957867197672,-0.98,6530.31,0.290240014,,,
3,mul0,24.89,41.79,33.34,30.86,24191.7,23707.67269527627,2.0,23533.3,0.027215946,,,
4,mul1,24.83,41.73,33.28,30.8,24284.3,23707.67269527627,2.37,23533.3,0.03092533,,,
5,mul2,24.93,41.87,33.4,30.91,24387.7,24484.356142331675,-0.4,23533.3,0.035034054,,,
6,mul3,24.8,41.83,33.31,30.83,24354.0,23707.67269527627,2.65,23533.3,0.033698776,,,
7,reg_Q0,41.79,41.79,41.79,41.79,11866.0,12034.960133313945,-1.42,2182.25,0.816092196,,,
8,reg_Q1,46.74,46.74,46.74,46.74,12266.0,12385.06468450545,-0.97,2182.25,0.822089516,,,
9,reg_Q2,48.55,48.55,48.55,48.55,12411.0,12560.096700745104,-1.2,2182.25,0.824168077,,,
10,reg_Y,48.69,48.69,48.69,48.69,11910.0,12560.096700745104,-5.46,2182.25,0.81677162,,,
11,zfir_8bit,24.89,48.69,48.69,48.69,184855.0,172173.90357779586,6.86,,,,,
