,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.78,45.96,41.84,41.84,8413.81
1,add1,42.77,47.68,44.41,44.41,8917.71
2,add2,43.73,48.58,45.35,45.35,9093.93
3,mul0,19.99,39.76,29.88,27.88,20322.1
4,mul1,20.07,39.8,29.93,27.93,20408.0
5,mul2,20.05,39.59,29.82,27.81,20332.7
6,mul3,20.03,39.79,29.91,27.92,20490.4
7,reg_Q0,39.76,39.76,39.76,39.76,11692.0
8,reg_Q1,45.96,45.96,45.96,45.96,12195.0
9,reg_Q2,47.68,47.68,47.68,47.68,12336.0
10,reg_Y,48.58,48.58,48.58,48.58,11901.0
11,zfir_8bit,19.99,48.58,48.58,48.58,166565.0
