,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,41.76,46.74,43.42,43.42,8680.58
1,add1,44.3,48.55,45.72,45.72,9139.5
2,add2,45.19,48.69,46.36,46.36,9200.73
3,mul0,24.89,41.79,33.34,30.86,24191.7
4,mul1,24.83,41.73,33.28,30.8,24284.3
5,mul2,24.93,41.87,33.4,30.91,24387.7
6,mul3,24.8,41.83,33.31,30.83,24354.0
7,reg_Q0,41.79,41.79,41.79,41.79,11866.0
8,reg_Q1,46.74,46.74,46.74,46.74,12266.0
9,reg_Q2,48.55,48.55,48.55,48.55,12411.0
10,reg_Y,48.69,48.69,48.69,48.69,11910.0
11,zfir_8bit,24.89,48.69,48.69,48.69,184855.0
