,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,30.2,40.17,33.52,33.52,6874.13,6637.553759,-3.44%,6530.31,5.00%,,,
1,add1,35.24,43.98,38.16,38.16,7822.87,7285.559423,-6.87%,6530.31,16.52%,,,
2,add2,36.96,46.22,40.05,40.05,8171.32,7737.552456,-5.31%,6530.31,20.08%,,,
3,mul0,10.06,30.1,20.08,19.07,11367.4,10759.65949,-5.35%,23533.3,-107.02%,,,
4,mul1,9.95,30.31,20.13,19.13,11346.1,10759.65949,-5.17%,23533.3,-107.41%,,,
5,mul2,10.11,30.32,20.21,19.2,11457,10759.65949,-6.09%,23533.3,-105.41%,,,
6,mul3,9.97,29.94,19.96,18.96,11265.3,10759.65949,-4.49%,23533.3,-108.90%,,,
7,reg_Q0,30.1,30.1,30.1,30.1,10874,11071.6112,1.82%,2182.25,79.93%,,,
8,reg_Q1,40.17,40.17,40.17,40.17,11708,11859.39784,1.29%,2182.25,81.36%,,,
9,reg_Q2,43.98,43.98,43.98,43.98,12026,12209.52279,1.53%,2182.25,81.85%,,,
10,reg_Y,46.22,46.22,46.22,46.22,11727,12385.06468,5.61%,2182.25,81.39%,,,
11,zfir_8bit,10.06,46.22,46.22,46.22,121569,112224.9001,-7.69%,,,,,
