,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.7,49.74,48.38,48.38,9360.21
1,add1,48.73,49.72,49.06,49.06,9610.76
2,add2,48.68,49.9,49.09,49.09,9630.47
3,mul0,65.73,47.81,56.77,50.2,58511.5
4,mul1,65.73,47.6,56.67,50.09,58604.9
5,mul2,65.8,47.73,56.76,50.19,58590.0
6,mul3,65.82,47.65,56.73,50.14,58627.9
7,reg_Q0,47.81,47.81,47.81,47.81,12375.0
8,reg_Q1,49.74,49.74,49.74,49.74,12513.0
9,reg_Q2,49.72,49.72,49.72,49.72,12510.0
10,reg_Y,49.9,49.9,49.9,49.9,11995.0
11,zfir_8bit,65.73,49.9,49.9,49.9,338932.0
