,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,49.07,50.9,49.68,49.68,9538.34
1,add1,49.93,49.62,49.83,49.83,9711.03
2,add2,49.42,50.15,49.66,49.66,9719.53
3,mul0,89.97,48.94,69.46,60.45,78422.0
4,mul1,89.95,49.21,69.58,60.58,78214.2
5,mul2,89.92,48.96,69.44,60.44,78207.2
6,mul3,89.97,49.22,69.6,60.6,78311.0
7,reg_Q0,48.94,48.94,48.94,48.94,12473.0
8,reg_Q1,50.9,50.9,50.9,50.9,12606.0
9,reg_Q2,49.62,49.62,49.62,49.62,12505.0
10,reg_Y,50.15,50.15,50.15,50.15,12014.0
11,zfir_8bit,89.97,50.15,50.15,50.15,426860.0
