,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,19.74,30.85,23.44,23.44,4866.02
1,add1,25.42,36.88,29.24,29.24,6134.38
2,add2,28.36,40.31,32.34,32.34,6739.66
3,mul0,4.97,19.58,12.27,11.78,6003.74
4,mul1,4.98,19.89,12.43,11.94,6214.3
5,mul2,4.99,19.99,12.49,11.99,6350.0
6,mul3,4.98,19.84,12.41,11.92,6214.29
7,reg_Q0,19.58,19.58,19.58,19.58,9986.0
8,reg_Q1,30.85,30.85,30.85,30.85,10922.0
9,reg_Q2,36.88,36.88,36.88,36.88,11427.0
10,reg_Y,40.31,40.31,40.31,40.31,11297.0
11,zfir_8bit,4.97,40.31,40.31,40.31,91300.9
