,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.03,49.9,49.32,20224.6
1,add1,49.42,49.94,49.59,20506.9
2,add2,49.58,50.06,49.74,20584.8
3,mul0,74.94,49.06,62.0,541624.0
4,mul1,74.91,49.0,61.96,541746.0
5,mul2,75.09,48.94,62.01,543202.0
6,mul3,75.02,49.22,62.12,542119.0
7,reg_Q0,49.06,49.06,49.06,24965.0
8,reg_Q1,49.9,49.9,49.9,25077.0
9,reg_Q2,49.94,49.94,49.94,25083.0
10,reg_Y,50.06,50.06,50.06,24015.0
11,zfir_8bit,74.94,50.06,50.06,2422810.0
