,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.66,50.18,49.84,20378.5
1,add1,49.91,49.64,49.82,20571.0
2,add2,49.61,50.08,49.77,20599.8
3,mul0,89.95,49.63,69.79,647195.0
4,mul1,90.01,49.7,69.86,647936.0
5,mul2,89.93,49.63,69.78,647448.0
6,mul3,90.0,49.6,69.8,647834.0
7,reg_Q0,49.63,49.63,49.63,25061.0
8,reg_Q1,50.18,50.18,50.18,25123.0
9,reg_Q2,49.64,49.64,49.64,25032.0
10,reg_Y,50.08,50.08,50.08,24020.0
11,zfir_8bit,89.95,50.08,50.08,2862120.0
