,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.98,49.98,49.98,19919.3
1,add1,51.54,56.22,53.1,21812.5
2,add2,56.22,65.58,59.34,23800.5
3,mul0,99.96,56.23,78.09,718167.0
4,mul1,99.96,43.73,71.85,716213.0
5,mul2,99.96,53.1,76.53,718329.0
6,mul3,99.96,56.23,78.09,718816.0
7,reg_Q0,56.23,56.23,56.23,26591.0
8,reg_Q1,49.98,49.98,49.98,25598.0
9,reg_Q2,56.22,56.22,56.22,26609.0
10,reg_Y,65.58,65.58,65.58,26328.0
11,zfir_8bit,99.96,65.58,65.58,3164680.0
