,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,38.37,44.76,40.5,17181.4
1,add1,41.45,46.63,43.18,18329.6
2,add2,42.52,47.77,44.27,18734.0
3,mul0,9.99,38.39,24.19,78030.3
4,mul1,9.98,38.35,24.17,78018.4
5,mul2,9.93,38.14,24.03,77358.1
6,mul3,9.96,38.42,24.19,77500.5
7,reg_Q0,38.39,38.39,38.39,23140.0
8,reg_Q1,44.76,44.76,44.76,24204.0
9,reg_Q2,46.63,46.63,46.63,24520.0
10,reg_Y,47.77,47.77,47.77,23684.0
11,zfir_8bit,9.99,47.77,47.77,479044.0
