,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,44.45,47.72,45.54,19120.9
1,add1,46.11,48.75,46.99,19689.6
2,add2,46.56,48.96,47.36,19797.5
3,mul0,19.98,44.44,32.21,149459.0
4,mul1,19.98,44.46,32.22,149965.0
5,mul2,19.93,44.5,32.22,149523.0
6,mul3,19.98,44.38,32.18,149669.0
7,reg_Q0,44.44,44.44,44.44,24173.0
8,reg_Q1,47.72,47.72,47.72,24709.0
9,reg_Q2,48.75,48.75,48.75,24879.0
10,reg_Y,48.96,48.96,48.96,23859.0
11,zfir_8bit,19.98,48.96,48.96,784731.0
