,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,48.52,49.46,48.83,20102.0
1,add1,48.92,49.89,49.24,20374.8
2,add2,49.19,50.06,49.48,20465.4
3,mul0,54.84,48.47,51.65,398403.0
4,mul1,54.94,48.57,51.75,399412.0
5,mul2,54.83,48.38,51.61,398512.0
6,mul3,54.85,48.49,51.67,398804.0
7,reg_Q0,48.47,48.47,48.47,24863.0
8,reg_Q1,49.46,49.46,49.46,25006.0
9,reg_Q2,49.89,49.89,49.89,25076.0
10,reg_Y,50.06,50.06,50.06,24016.0
11,zfir_8bit,54.84,50.06,50.06,1825370.0
