,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,35.46,43.28,38.07,12007.8
1,add1,39.27,45.96,41.5,13078.0
2,add2,40.62,47.33,42.86,13434.9
3,mul0,10.04,35.31,22.68,34721.2
4,mul1,9.99,35.6,22.8,34541.8
5,mul2,10.02,35.25,22.64,34464.6
6,mul3,10.01,35.29,22.65,34616.1
7,reg_Q0,35.31,35.31,35.31,16964.0
8,reg_Q1,43.28,43.28,43.28,17960.0
9,reg_Q2,45.96,45.96,45.96,18293.0
10,reg_Y,47.33,47.33,47.33,17712.0
11,zfir_12bit,10.04,47.33,47.33,259626.0
