,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,47.68,49.47,48.28,14662.7
1,add1,48.54,49.83,48.97,14914.0
2,add2,48.75,49.64,49.05,14937.1
3,mul0,50.0,47.86,48.93,152658.0
4,mul1,49.91,47.51,48.71,153036.0
5,mul2,50.03,47.61,48.82,152957.0
6,mul3,49.94,47.67,48.8,152780.0
7,reg_Q0,47.86,47.86,47.86,18559.0
8,reg_Q1,49.47,49.47,49.47,18740.0
9,reg_Q2,49.83,49.83,49.83,18785.0
10,reg_Y,49.64,49.64,49.64,17967.0
11,zfir_12bit,50.0,49.64,49.64,768789.0
