,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,49.57,50.48,49.88,14984.4
1,add1,49.91,49.95,49.92,15160.5
2,add2,49.74,50.1,49.86,15181.6
3,mul0,90.07,49.55,69.81,268504.0
4,mul1,90.01,49.6,69.81,268548.0
5,mul2,90.08,49.35,69.71,268750.0
6,mul3,89.96,49.55,69.75,268632.0
7,reg_Q0,49.55,49.55,49.55,18772.0
8,reg_Q1,50.48,50.48,50.48,18866.0
9,reg_Q2,49.95,49.95,49.95,18799.0
10,reg_Y,50.1,50.1,50.1,18018.0
11,zfir_12bit,90.07,50.1,50.1,1260040.0
