,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,35.26,43.27,37.93,11957.4
1,add1,39.32,45.86,41.5,13070.9
2,add2,40.54,47.19,42.76,13412.0
3,mul0,10.05,35.35,22.7,34531.9
4,mul1,10.0,35.18,22.59,34041.5
5,mul2,9.98,35.38,22.68,34554.9
6,mul3,9.93,35.23,22.58,34084.9
7,reg_Q0,35.35,35.35,35.35,16968.0
8,reg_Q1,43.27,43.27,43.27,17959.0
9,reg_Q2,45.86,45.86,45.86,18282.0
10,reg_Y,47.19,47.19,47.19,17696.0
11,zfir_12bit,10.05,47.19,47.19,258393.0
