,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,42.84,47.09,44.26,13753.1
1,add1,44.91,48.39,46.07,14288.4
2,add2,45.67,48.97,46.77,14465.2
3,mul0,20.0,42.9,31.45,65049.3
4,mul1,19.96,42.79,31.37,65359.9
5,mul2,19.84,42.73,31.28,64758.1
6,mul3,19.96,42.97,31.46,65032.2
7,reg_Q0,42.9,42.9,42.9,17928.0
8,reg_Q1,47.09,47.09,47.09,18441.0
9,reg_Q2,48.39,48.39,48.39,18601.0
10,reg_Y,48.97,48.97,48.97,17891.0
11,zfir_12bit,20.0,48.97,48.97,394133.0
