,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,48.83,49.74,49.14,14803.8
1,add1,49.3,49.94,49.51,15048.3
2,add2,49.31,49.88,49.5,15059.4
3,mul0,75.13,48.71,61.92,226155.0
4,mul1,74.92,48.96,61.94,225466.0
5,mul2,75.0,48.85,61.93,225756.0
6,mul3,74.95,48.7,61.82,225897.0
7,reg_Q0,48.71,48.71,48.71,18670.0
8,reg_Q1,49.74,49.74,49.74,18774.0
9,reg_Q2,49.94,49.94,49.94,18799.0
10,reg_Y,49.88,49.88,49.88,17991.0
11,zfir_12bit,75.13,49.88,49.88,1078110.0
